@relation 's_0: -C -2'

@attribute NOII_type numeric
@attribute NOAM_type numeric
@attribute NOCS_type numeric
@attribute NOM_type numeric
@attribute NMO_type numeric
@attribute ATFD_type numeric
@attribute FANOUT_type numeric
@attribute NOMNAMM_type numeric
@attribute NOA_type numeric
@attribute NIM_type numeric
@attribute DIT_type numeric
@attribute LOC_type numeric
@attribute LOCNAMM_type numeric
@attribute CFNAMM_type numeric
@attribute TCC_type numeric
@attribute CBO_type numeric
@attribute RFC_type numeric
@attribute NOC_type numeric
@attribute WMC_type numeric
@attribute LCOM5_type numeric
@attribute WOC_type numeric
@attribute WMCNAMM_type numeric
@attribute AMW_type numeric
@attribute AMWNAMM_type numeric
@attribute isStatic_type numeric
@attribute NOPA_type numeric
@attribute number_private_visibility_attributes numeric
@attribute number_protected_visibility_attributes numeric
@attribute number_package_visibility_attributes numeric
@attribute num_final_attributes numeric
@attribute num_static_attributes numeric
@attribute num_final_static_attributes numeric
@attribute num_not_final_not_static_attributes numeric
@attribute num_final_not_static_attributes numeric
@attribute num_static_not_final_attributes numeric
@attribute number_public_visibility_methods numeric
@attribute number_private_visibility_methods numeric
@attribute number_protected_visibility_methods numeric
@attribute number_package_visibility_methods numeric
@attribute number_final_methods numeric
@attribute number_abstract_methods numeric
@attribute number_not_abstract_not_final_methods numeric
@attribute number_static_methods numeric
@attribute number_final_static_methods numeric
@attribute number_final_not_static_methods numeric
@attribute number_not_final_static_methods numeric
@attribute number_not_final_not_static_methods numeric
@attribute number_standard_design_methods numeric
@attribute number_constructor_DefaultConstructor_methods numeric
@attribute number_constructor_NotDefaultConstructor_methods numeric
@attribute is_GC {0,1}
@attribute is_DC {0,1}

@data
0,0,0,2,2,0,0,2,4,30,3,18,18,0,1,5,48,0,4,0.5,0.333333,4,2,2,0,4,0,0,0,0,1,0,3,0,1,2,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0
0,0,0,7,0,2,1,7,3,32,3,34,34,2,1,5,57,0,7,1,0.571429,7,1,1,0,3,0,0,0,0,0,0,3,0,0,4,3,0,0,0,0,7,0,0,0,0,7,7,0,0,0,0
0,0,0,1,0,0,0,1,2,32,3,4,4,0,1,5,49,0,1,0,0.333333,1,1,1,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
0,0,0,4,0,0,2,4,1,32,3,35,35,3,1,5,53,0,8,1,0.5,8,2,2,0,1,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,4,0,0,0,0,4,4,0,0,0,0
0,0,0,2,1,4,2,2,1,25,2,16,16,3,0,5,41,0,3,1,0.5,3,1.5,1.5,0,1,0,0,0,0,1,0,0,0,1,2,0,0,1,0,0,3,1,0,0,1,2,2,1,0,0,0
0,0,0,4,1,1,3,4,3,31,3,43,43,10,1,6,53,0,11,1,0.5,11,2.75,2.75,0,3,0,0,0,0,0,0,3,0,0,3,1,0,0,0,0,4,0,0,0,0,4,4,0,0,0,0
0,0,0,4,2,0,0,4,1,0,1,26,26,0,1,0,4,0,7,0.333333,1,7,1.75,1.75,0,0,0,0,1,0,0,0,1,0,0,4,0,0,0,0,0,4,0,0,0,0,4,3,0,1,0,0
0,0,0,3,0,0,1,3,1,32,3,24,24,2,1,5,52,0,4,1,0.666667,4,1.333333,1.333333,0,1,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0
0,0,0,6,3,5,3,6,1,30,3,44,44,5,0.2,7,52,0,14,0.6,1,14,2.333333,2.333333,0,0,0,0,1,0,0,0,1,0,0,4,0,0,3,0,0,7,0,0,0,0,7,6,1,0,0,0
0,0,0,2,0,0,1,2,1,32,3,15,15,1,1,5,51,0,2,1,0.5,2,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0
0,0,0,6,3,2,5,6,7,30,3,70,70,13,0.2,7,52,0,30,0.9,1,30,5,5,0,0,3,0,4,0,3,0,4,0,3,3,0,0,3,0,0,6,0,0,0,0,6,6,0,0,0,0
0,0,0,5,0,5,1,5,19,32,3,83,83,6,1,5,57,0,21,1,0.05,21,4.2,4.2,0,19,0,0,0,0,0,0,19,0,0,1,4,0,0,0,0,5,0,0,0,0,5,5,0,0,0,0
0,0,0,3,0,0,2,3,1,32,3,20,20,2,1,5,52,0,3,1,0.5,3,1,1,0,1,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0
0,0,0,5,1,4,3,5,1,25,2,49,49,6,0.1,5,44,0,8,0.75,0.5,8,1.6,1.6,0,1,0,0,0,0,1,0,0,0,1,1,0,4,0,0,0,5,0,0,0,0,5,5,0,0,0,0
0,0,0,7,0,5,2,7,4,0,1,72,72,7,0.714286,3,14,1,11,0.708333,0.5,11,1.571429,1.571429,0,4,0,0,0,0,0,0,4,0,0,5,0,3,0,0,0,8,1,0,0,1,7,7,1,0,0,0
0,0,0,10,4,5,3,10,2,22,2,98,98,12,0.133333,5,48,13,23,0.888889,1,23,2.3,2.3,0,0,0,2,0,0,0,0,2,0,0,6,0,4,0,0,0,10,0,0,0,0,10,10,0,0,1,0
1,0,0,11,1,0,0,11,2,6,2,70,70,0,0.622222,0,11,0,19,0.7,1,19,1.727273,1.727273,0,0,0,2,0,0,0,0,2,0,0,11,0,0,0,0,0,11,3,0,0,3,8,10,0,1,0,0
0,0,0,7,1,1,3,7,3,25,2,65,65,7,0.952381,5,46,1,13,0.5,0.833333,13,1.857143,1.857143,0,1,0,2,0,0,2,0,1,0,2,5,0,2,0,0,0,7,0,0,0,0,7,7,0,0,0,0
0,1,17,11,0,0,18,10,5,0,1,244,239,18,0.345455,1,29,9,33,0.8,0.6,32,3,3.2,0,5,0,0,0,0,0,0,5,0,0,11,0,1,0,0,0,12,4,0,0,4,8,10,1,0,0,0
0,0,0,2,1,0,0,2,2,0,1,19,19,0,1,0,2,0,3,0.5,1,3,1.5,1.5,0,0,0,0,2,0,0,0,2,0,0,2,0,0,1,0,0,3,0,0,0,0,3,2,1,0,0,0
0,0,0,1,1,0,0,1,0,10,2,5,5,0,1,1,28,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,2,1,1,0,0,0
0,0,0,4,0,0,1,4,0,15,4,18,18,4,1,1,9,0,4,0,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0
0,0,0,6,1,0,0,6,3,14,3,50,50,0,1,0,6,1,13,0.6,1,13,2.166667,2.166667,0,0,0,0,3,0,0,0,3,0,0,6,0,0,0,0,0,6,0,0,0,0,6,1,0,5,0,0
1,0,2,29,0,106,25,29,4,0,1,1371,1371,51,1,27,87,0,328,0.723214,1,328,11.310345,11.310345,0,0,1,0,3,0,0,0,4,0,0,4,25,0,0,0,0,29,6,0,0,6,23,27,0,2,1,0
0,0,0,10,0,96,1,10,3,0,1,243,243,1,1,28,12,0,47,0.481481,1,47,4.7,4.7,0,0,0,0,3,0,0,0,3,0,0,2,8,0,0,0,0,10,0,0,0,0,10,9,0,1,0,0
0,0,0,2,0,0,1,2,1,0,2,14,14,1,1,1,3,0,2,1,0.666667,2,1,1,1,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0
0,0,2,2,0,0,1,2,8,0,2,76,76,1,1,2,3,0,2,1,0.2,2,1,1,0,8,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0
0,0,0,2,0,0,0,2,0,11,2,15,15,0,0,4,21,0,2,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,2,1,0,0,0
0,0,0,3,0,0,2,3,0,7,2,29,29,2,0,5,15,0,4,0,1,4,1.333333,1.333333,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0
0,39,0,40,0,15,3,1,20,0,1,330,330,3,0.087179,9,58,0,40,0.971795,0.025,1,1,1,0,0,20,0,0,0,1,0,19,0,1,41,0,0,0,0,0,41,0,0,0,0,41,1,1,0,0,1
0,18,0,25,1,5,4,7,9,10,2,199,37,3,0.243333,7,40,0,25,0.898148,0.28,7,1,1,0,0,9,0,0,0,0,0,9,0,0,26,0,0,0,0,0,26,0,0,0,0,26,7,1,0,0,1
0,0,0,3,0,1,2,3,0,72,5,88,88,3,1,2,6,0,10,0,1,10,3.333333,3.333333,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,3,1,0,0,1,2,2,0,1,0,0
1,6,0,30,0,0,1,24,11,0,1,518,390,1,0.261084,1,31,0,55,0.937304,0.8,42,1.833333,1.75,0,0,0,11,0,5,5,5,6,0,0,30,0,0,0,0,0,30,0,0,0,0,30,23,0,1,0,0
2,9,3,47,0,19,11,38,48,0,1,1342,1264,30,0.49359,10,77,0,227,0.949275,0.709677,213,4.829787,5.605263,0,1,13,34,0,24,19,19,24,5,0,31,7,9,1,7,0,41,2,2,5,0,41,38,1,0,1,0
3,9,6,50,0,0,10,41,96,0,1,3600,3405,26,0.272895,5,80,0,296,0.980867,0.395349,256,5.92,6.243902,0,19,15,62,0,55,47,47,41,8,0,25,3,21,2,5,0,46,7,2,3,5,41,41,1,0,1,0
1,0,0,18,0,61,9,18,2,0,1,1097,1097,36,0.269231,9,61,0,286,0.882353,1,286,15.888889,15.888889,0,0,2,0,0,2,0,0,0,2,0,2,5,12,0,0,0,19,0,0,0,0,19,18,1,0,1,0
2,7,0,11,1,0,0,4,6,0,1,112,64,0,0.361111,0,11,0,11,0.8,0.3,4,1,1,1,0,0,6,0,0,0,0,6,0,0,10,0,0,1,0,0,11,0,0,0,0,11,2,0,2,0,1
0,0,10,4,0,0,10,4,0,0,1,196,196,11,0,0,15,0,8,0,1,8,2,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,4,4,0,0,4,0,4,0,0,0,0
0,0,0,2,0,0,1,2,3,0,1,26,26,2,1,2,4,0,2,0.5,1,2,1,1,1,0,0,0,3,0,0,0,3,0,0,1,0,0,1,0,0,2,0,0,0,0,2,1,0,1,0,0
0,4,0,11,1,0,0,7,4,0,1,107,67,0,0.418182,0,11,0,11,0.8,0.636364,7,1,1,0,0,0,0,4,0,0,0,4,0,0,11,0,0,1,0,0,12,0,0,0,0,12,7,1,0,0,1
0,0,1,4,1,0,4,4,5,14,2,166,166,4,0.5,10,34,0,10,0.6,1,10,2.5,2.5,0,0,5,0,0,1,1,1,4,0,0,2,0,2,0,0,0,4,0,0,0,0,4,4,0,0,0,0
1,0,0,1,0,2,1,1,0,0,1,34,34,1,1,3,2,0,6,0,0,6,6,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,2,1,1,0,0,0
3,9,7,63,0,3,5,54,23,0,2,2005,1910,11,0.383503,3,77,3,244,0.953717,0,233,3.873016,4.314815,0,2,4,17,0,9,6,6,14,3,0,34,10,19,0,4,4,55,1,0,4,1,58,50,0,4,1,0
1,7,0,16,1,0,0,9,7,0,1,175,105,0,0.2,4,16,0,16,0.866667,0.5625,9,1,1,0,0,7,0,0,0,0,0,7,0,0,16,0,0,0,0,0,16,0,0,0,0,16,8,0,1,0,1
0,0,0,1,0,0,0,1,6,0,1,38,38,0,1,0,1,0,1,0,0,1,1,1,0,6,0,0,0,6,6,6,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
0,0,1,11,0,0,1,11,1,0,1,146,146,1,0.622222,0,12,1,17,0.3,1,17,1.545455,1.545455,0,0,1,0,0,0,0,0,1,0,0,10,0,0,1,9,0,2,0,0,9,0,2,10,0,1,0,0
1,0,0,1,0,0,0,1,0,0,1,42,42,0,1,0,1,0,7,0,1,7,7,7,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,2,1,1,0,0,0
0,0,0,4,0,0,2,4,4,0,2,51,51,4,0,5,8,1,11,1,0,11,2.75,2.75,0,0,0,4,0,0,0,0,4,0,0,4,0,0,0,1,2,1,0,0,1,0,3,3,0,1,0,0
0,9,0,12,1,0,1,3,7,0,1,164,79,0,0.30303,1,13,0,21,0.857143,0.25,11,1.75,3.666667,0,0,7,0,0,0,2,0,5,0,2,13,0,0,0,0,0,13,0,0,0,0,13,3,1,0,0,1
0,1,0,7,0,11,12,6,5,0,1,321,306,20,0.2,13,38,0,51,0.866667,0.75,48,7.285714,8,0,0,5,0,0,0,0,0,5,0,0,4,1,2,0,3,0,4,1,1,2,0,4,5,0,1,1,0
0,0,2,9,0,1,4,9,5,0,1,200,200,2,1,3,13,0,20,0.825,1,20,2.222222,2.222222,0,0,5,0,0,2,2,2,3,0,0,6,3,0,0,0,0,9,2,0,0,2,7,8,0,1,0,0
1,0,0,1,0,1,0,1,0,0,1,10,10,0,1,1,1,0,2,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,2,1,1,0,0,0
0,3,0,4,0,0,0,1,2,0,1,25,7,0,0.333333,0,4,0,4,0.666667,0.25,1,1,1,0,0,2,0,0,0,0,0,2,0,0,5,0,0,0,0,0,5,0,0,0,0,5,1,1,0,0,1
0,8,0,8,0,0,0,0,4,0,1,47,47,0,0.142857,0,8,0,8,0.857143,0,0,1,0,0,0,4,0,0,0,0,0,4,0,0,9,0,0,0,0,0,9,0,0,0,0,9,0,1,0,0,1
0,6,0,8,0,0,0,2,4,0,1,47,11,0,0.142857,0,8,0,8,0.857143,0.25,2,1,1,0,0,4,0,0,0,0,0,4,0,0,9,0,0,0,0,0,9,0,0,0,0,9,2,1,0,0,1
0,16,0,16,0,0,0,0,8,0,1,91,91,0,0.066667,3,16,0,16,0.933333,0,0,1,0,0,0,8,0,0,0,0,0,8,0,0,17,0,0,0,0,0,17,0,0,0,0,17,0,1,0,0,1
0,0,0,5,0,0,2,5,0,45,6,29,29,2,0,9,18,0,5,0,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,5,0,0,0,0,5,4,0,1,0,0
1,1,0,7,1,2,2,6,1,44,6,48,38,4,1,9,19,0,7,0.166667,0.75,6,1,1,0,0,1,0,0,0,0,0,1,0,0,4,0,3,0,0,0,7,0,0,0,0,7,5,0,1,0,0
0,0,0,6,1,3,2,6,0,44,6,39,39,2,0,9,18,0,8,0,1,8,1.333333,1.333333,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,6,0,0,0,0,6,5,0,1,0,0
2,0,0,66,0,0,0,66,5,51,2,1917,1917,0,0.007519,1,66,0,785,0.996923,0.919355,785,11.893939,11.893939,0,5,0,0,0,5,5,5,0,0,0,57,5,4,0,61,0,5,5,5,56,0,5,62,0,4,1,0
1,0,2,7,0,13,6,7,6,0,1,301,301,8,0,6,23,0,48,1,1,48,6.857143,6.857143,0,0,0,0,6,0,0,0,6,0,0,4,3,0,0,0,0,7,0,0,0,0,7,6,0,1,1,0
0,0,0,2,0,0,0,2,0,15,3,8,8,0,1,0,2,0,2,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0
0,0,0,2,0,0,0,2,0,2,2,12,12,0,0,0,2,0,4,0,1,4,2,2,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,2,1,0,0,0
1,0,3,22,0,25,15,22,4,0,1,603,603,21,0.333333,15,69,0,114,0.964286,1,114,5.181818,5.181818,0,0,0,0,4,0,2,0,2,0,2,4,18,0,0,0,0,22,0,0,0,0,22,21,0,1,1,0
1,2,9,33,0,29,28,31,36,531,6,1043,1015,46,0.3,23,104,0,70,0.94184,1,68,2.121212,2.193548,0,0,0,0,36,0,0,0,36,0,0,4,27,2,0,0,0,33,0,0,0,0,33,30,0,1,1,0
0,8,0,10,0,0,1,2,4,0,1,86,22,1,0.142857,1,11,0,11,0.888889,0,3,1.1,1.5,0,0,4,0,0,0,0,0,4,0,0,4,0,0,6,0,0,10,0,0,0,0,10,0,0,2,0,1
0,0,0,18,0,39,11,18,14,20,2,1172,1172,20,0.461538,21,71,0,238,0.894958,1,238,13.222222,13.222222,0,0,9,0,5,3,14,3,0,0,11,1,5,0,12,0,0,18,18,0,0,18,0,18,0,0,1,0
0,7,0,9,1,0,1,2,4,8,2,86,30,1,0.166667,2,18,0,9,0.84375,0.222222,2,1,1,0,0,4,0,0,0,0,0,4,0,0,9,0,0,0,0,0,9,0,0,0,0,9,2,0,0,0,1
0,4,0,4,0,0,0,0,14,0,1,95,63,0,0.333333,1,4,0,4,1,0,0,1,0,0,12,2,0,0,5,5,5,9,0,0,5,0,0,0,0,0,5,0,0,0,0,5,0,1,0,0,1
2,0,2,17,0,3,7,17,10,0,7,571,571,19,0.363636,6,39,1,45,0.89375,0,45,2.647059,2.647059,0,0,10,0,0,0,0,0,10,0,0,9,4,4,0,0,2,15,0,0,0,0,17,15,0,2,1,0
0,0,0,2,0,2,2,2,2,574,6,66,66,2,1,2,6,0,8,1,1,8,4,4,1,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,2,1,0,1,0,0
