NOP_method,CC_method,ATFD_method,FDP_method,CM_method,MAXNESTING_method,LOC_method,CYCLO_method,NMCS_method,NOLV_method,MaMCL_method,NOAV_method,LAA_method,FANOUT_method,CFNAMM_method,ATLD_method,CLNAMM_method,CINT_method,MeMCL_method,CDISP_method,isStatic_type,number_private_visibility_attributes,number_protected_visibility_attributes,number_package_visibility_attributes,num_final_attributes,num_static_attributes,num_final_static_attributes,num_not_final_not_static_attributes,num_final_not_static_attributes,num_static_not_final_attributes,number_public_visibility_methods,number_private_visibility_methods,number_protected_visibility_methods,number_package_visibility_methods,number_final_methods,number_abstract_methods,number_not_abstract_not_final_methods,number_static_methods,number_final_static_methods,number_final_not_static_methods,number_not_final_static_methods,number_not_final_not_static_methods,number_standard_design_methods,number_constructor_DefaultConstructor_methods,number_constructor_NotDefaultConstructor_methods,isStatic_method,is_SS
1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,5,5,0,0,0,0
4,12,2,2,15,1,12,7,0,5,0,7,0,5,5,0,1,7,0,0.714286,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,11,11,0,0,11,0,11,0,0,1,1
0,7,0,0,17,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,5,0,0,0,1,0,4,0,1,6,0,1,0,0,0,7,0,0,0,0,7,1,0,2,0,0
1,9,0,0,37,1,6,1,0,1,0,4,1,1,1,3,0,1,0,1,0,4,0,0,0,0,0,4,0,0,10,0,0,0,0,0,10,0,0,0,0,10,6,0,1,0,0
0,3,0,0,3,1,4,1,0,0,0,1,1,0,0,1,0,0,0,0,0,9,0,0,3,3,3,9,0,0,20,0,0,0,0,1,19,0,0,0,0,20,3,0,1,0,0
0,10,0,0,24,2,9,2,0,2,0,3,1,0,0,1,2,0,0,0,0,13,0,0,2,3,2,11,0,1,71,15,6,0,0,0,92,4,0,0,4,88,70,0,4,0,0
1,5,2,1,7,5,41,8,0,6,0,13,0.714286,4,4,5,2,6,0,0.666667,0,28,0,0,8,7,7,20,1,0,42,17,0,0,0,0,59,5,0,0,5,54,26,0,6,0,1
0,0,1,1,0,3,9,3,0,1,0,2,0,2,3,0,1,3,0,0.666667,0,6,0,2,1,4,1,8,0,3,41,2,0,0,0,0,43,1,0,0,1,42,31,0,1,0,0
0,16,1,1,34,3,41,7,0,5,0,15,0.9,8,8,9,1,9,0,0.888889,1,10,0,0,2,1,0,7,2,1,10,2,0,0,0,0,12,0,0,0,0,12,11,0,1,0,1
0,0,0,0,0,1,5,1,0,0,0,1,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,3,0,0,7,0,0,0,0,0,7,0,0,0,0,7,3,0,0,0,0
0,0,3,3,0,3,11,5,0,1,0,9,0.625,4,2,5,0,4,0,1,0,1,0,1,1,1,1,1,0,0,1,0,4,0,0,0,5,0,0,0,0,5,4,0,1,0,0
1,9,0,0,11,2,4,2,0,1,0,2,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,3,0,0,0,0,0,3,0,0,0,0,3,2,0,1,0,0
0,9,0,0,11,3,14,3,0,3,0,6,0.5,3,2,1,0,3,0,1,0,6,0,0,3,2,2,3,1,0,9,2,2,0,0,0,13,1,0,0,1,12,9,0,1,0,1
1,8,0,0,9,3,13,3,0,3,0,4,1,5,7,1,1,7,0,0.714286,0,9,1,0,5,5,5,7,0,0,12,3,12,0,0,0,27,1,0,0,1,26,20,0,3,0,1
