@relation 'Training_Citical Dataset'

@attribute AMWNAMM_type numeric
@attribute AMW_type numeric
@attribute ATFD_type numeric
@attribute CBO_type numeric
@attribute CFNAMM_type numeric
@attribute DIT_type numeric
@attribute FANOUT_type numeric
@attribute LCOM5_type numeric
@attribute LOCNAMM_type numeric
@attribute LOC_type numeric
@attribute NIM_type numeric
@attribute NMO_type numeric
@attribute NOAM_type numeric
@attribute NOA_type numeric
@attribute NOCS_type numeric
@attribute NOC_type numeric
@attribute NOII_type numeric
@attribute NOMNAMM_type numeric
@attribute NOM_type numeric
@attribute NOPA_type numeric
@attribute RFC_type numeric
@attribute TCC_type numeric
@attribute WMCNAMM_type numeric
@attribute WMC_type numeric
@attribute WOC_type numeric
@attribute isStatic_type numeric
@attribute num_final_attributes numeric
@attribute num_final_not_static_attributes numeric
@attribute num_final_static_attributes numeric
@attribute num_not_final_not_static_attributes numeric
@attribute num_static_attributes numeric
@attribute num_static_not_final_attributes numeric
@attribute number_abstract_methods numeric
@attribute number_constructor_DefaultConstructor_methods numeric
@attribute number_constructor_NotDefaultConstructor_methods numeric
@attribute number_final_methods numeric
@attribute number_final_not_static_methods numeric
@attribute number_final_static_methods numeric
@attribute number_not_abstract_not_final_methods numeric
@attribute number_not_final_not_static_methods numeric
@attribute number_not_final_static_methods numeric
@attribute number_package_visibility_attributes numeric
@attribute number_package_visibility_methods numeric
@attribute number_private_visibility_attributes numeric
@attribute number_private_visibility_methods numeric
@attribute number_protected_visibility_attributes numeric
@attribute number_protected_visibility_methods numeric
@attribute number_public_visibility_methods numeric
@attribute number_standard_design_methods numeric
@attribute number_static_methods numeric
@attribute class {1,2,3,4}

@data
1,1,0,0,0,1,0,0,58,58,0,0,0,0,0,1,1,11,11,0,11,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,11,11,0,1
4.314815,3.873016,3,3,11,2,5,0.953717,1910,2005,0,0,9,23,7,3,3,54,63,2,77,0.383503,233,244,0,0,9,3,6,14,6,0,4,0,4,4,4,0,55,58,1,0,0,4,10,17,19,34,50,1,3
1,1,0,0,0,1,0,0.968531,69,292,0,0,22,13,0,0,0,1,23,2,23,0.044118,1,23,0,0,2,0,2,11,2,0,0,0,1,0,0,0,23,23,0,0,0,11,5,0,1,17,0,0,2
4.207547,3.615385,14,26,85,1,20,0.926339,1489,1600,0,0,12,14,0,2,1,53,65,0,166,0.260652,223,235,0,0,3,1,2,11,2,0,4,0,1,51,51,0,10,14,0,0,0,14,7,0,6,52,52,0,4
0,1,0,0,0,1,0,0.8,15,15,0,0,6,3,0,0,0,0,6,0,6,0.2,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,6,0,0,0,3,0,0,0,6,0,0,2
6,1.625,0,0,0,1,0,0.97619,31,52,0,0,7,6,0,0,0,1,8,0,8,0.047619,6,13,0.125,0,0,0,0,6,0,0,0,0,1,0,0,0,8,8,0,0,0,6,0,0,0,8,0,0,2
1.857143,1.857143,1,5,7,2,3,0.5,65,65,25,1,0,3,0,1,0,7,7,1,46,0.952381,13,13,0.833333,0,0,0,0,1,2,2,0,0,0,0,0,0,7,7,0,0,0,0,0,2,2,5,7,0,1
1,1,0,0,0,1,0,0,65,65,0,0,0,57,0,0,0,1,1,57,1,1,1,1,0,0,57,0,57,0,57,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
0,1,0,1,0,2,0,0.833333,48,48,4,0,10,4,0,0,0,0,10,0,14,0.2,0,10,0,0,0,0,0,4,0,0,0,1,0,0,0,0,11,11,0,0,0,4,0,0,0,11,0,0,2
1,1.4,1,8,7,7,4,0.955556,91,149,541,0,4,5,1,0,0,6,10,0,27,0.190476,6,14,0.5,0,0,0,0,5,0,0,0,0,1,0,0,0,10,10,0,0,0,5,2,0,0,8,5,0,1
